# Minimum flow requirement, cfs. One row per day of a generic (non-leap) year.
# Read by scripts/externalRules/MinFlowPlusWithdrawal.py
#
# GENERATED from data/BiOpMINFLOW.csv by
# scripts/externalRules/_offline_tests/build_MinFlowWithdrawal_configs.py.
# Edit the source and rerun rather than editing this file, or the next
# rebuild will overwrite your changes.
#
# The source gives breakpoints only. Each value is held FLAT until the next
# breakpoint, which is how a BiOp minimum flow table reads: the requirement
# steps on a date, it does not ramp. Set STEP_HOLD = False in the generator
# to interpolate between breakpoints instead.
#
# A BLANK cell means this file asks for nothing that day. Blank is not zero:
# where both this file and the withdrawal file are blank, the rule stands
# down and the rest of the stack sets the release.
#
Month,Day,Detroit,Hills Creek,Lookout Point,Cougar,Green Peter,Dorena,Cottage Grove,Fern Ridge,Blue River,Fall Creek
1,1,1200,400,1200,300,1100,100,50,30,50,50
1,2,1200,400,1200,300,1100,100,50,30,50,50
1,3,1200,400,1200,300,1100,100,50,30,50,50
1,4,1200,400,1200,300,1100,100,50,30,50,50
1,5,1200,400,1200,300,1100,100,50,30,50,50
1,6,1200,400,1200,300,1100,100,50,30,50,50
1,7,1200,400,1200,300,1100,100,50,30,50,50
1,8,1200,400,1200,300,1100,100,50,30,50,50
1,9,1200,400,1200,300,1100,100,50,30,50,50
1,10,1200,400,1200,300,1100,100,50,30,50,50
1,11,1200,400,1200,300,1100,100,50,30,50,50
1,12,1200,400,1200,300,1100,100,50,30,50,50
1,13,1200,400,1200,300,1100,100,50,30,50,50
1,14,1200,400,1200,300,1100,100,50,30,50,50
1,15,1200,400,1200,300,1100,100,50,30,50,50
1,16,1200,400,1200,300,1100,100,50,30,50,50
1,17,1200,400,1200,300,1100,100,50,30,50,50
1,18,1200,400,1200,300,1100,100,50,30,50,50
1,19,1200,400,1200,300,1100,100,50,30,50,50
1,20,1200,400,1200,300,1100,100,50,30,50,50
1,21,1200,400,1200,300,1100,100,50,30,50,50
1,22,1200,400,1200,300,1100,100,50,30,50,50
1,23,1200,400,1200,300,1100,100,50,30,50,50
1,24,1200,400,1200,300,1100,100,50,30,50,50
1,25,1200,400,1200,300,1100,100,50,30,50,50
1,26,1200,400,1200,300,1100,100,50,30,50,50
1,27,1200,400,1200,300,1100,100,50,30,50,50
1,28,1200,400,1200,300,1100,100,50,30,50,50
1,29,1200,400,1200,300,1100,100,50,30,50,50
1,30,1200,400,1200,300,1100,100,50,30,50,50
1,31,1200,400,1200,300,1100,100,50,30,50,50
2,1,1000,400,1200,300,800,190,75,50,50,50
2,2,1000,400,1200,300,800,190,75,50,50,50
2,3,1000,400,1200,300,800,190,75,50,50,50
2,4,1000,400,1200,300,800,190,75,50,50,50
2,5,1000,400,1200,300,800,190,75,50,50,50
2,6,1000,400,1200,300,800,190,75,50,50,50
2,7,1000,400,1200,300,800,190,75,50,50,50
2,8,1000,400,1200,300,800,190,75,50,50,50
